_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest POI,Distance(Km)
4763919,2017-06-21 00:16:13.583,CA,ON,Woodstock,43.12378,-80.73354,POI1 or POI2,1411.343220051952
4763943,2017-06-21 22:16:13.637,CA,SK,North Battleford,52.7834,-108.2847,POI1 or POI2,3330.692245830962
4763989,2017-06-21 06:16:13.563,CA,ON,Burlington,43.35263,-79.7928,POI1 or POI2,1331.1869589849575
4764282,2017-06-21 14:16:18.950,CA,ON,Waterloo,43.45938,-80.54928,POI1 or POI2,1387.3831667643221
4764365,2017-06-21 09:16:18.947,CA,ON,Markham,43.8938,-79.2851,POI1 or POI2,1277.4429045894706
4764387,2017-06-21 17:16:19.880,CA,AB,Edmonton,53.47685,-113.4194,POI1 or POI2,3664.877967508573
4764493,2017-06-21 10:16:19.150,CA,ON,North York,43.7586,-79.5609,POI1 or POI2,1302.2915493658156
4764659,2017-06-21 00:16:23.033,CA,SK,Prince Albert,53.1856,-105.7398,POI1 or POI2,3158.6661413926527
4764716,2017-06-21 07:16:24.007,CA,NB,Fredericton,45.95137,-66.6131,POI4,274.9733819915717
4764791,2017-06-21 08:16:24.060,CA,NB,Saint John,45.2563,-65.9432,POI4,212.10428933585158
4764807,2017-06-21 22:16:20.363,CA,AB,Edmonton,53.40541,-113.43071,POI1 or POI2,3666.506117427016
4765061,2017-06-21 18:16:23.253,CA,AB,Fort Mcmurray,56.71896,-111.35747,POI1 or POI2,3515.0470845960117
4765078,2017-06-21 00:16:23.290,CA,SK,Prince Albert,53.18509,-105.71264,POI1 or POI2,3156.8590881473606
4765282,2017-06-21 14:16:24.007,CA,AB,Calgary,51.06306,-114.19221,POI1 or POI2,3756.1142931548043
4765386,2017-06-21 15:16:22.767,CA,ON,Burlington,43.4342,-79.8701,POI1 or POI2,1334.956254330153
4765502,2017-06-21 18:16:23.000,CA,AB,Edmonton,53.42884,-113.45366,POI1 or POI2,3667.724285023521
4765565,2017-06-21 12:16:23.853,CA,NS,Halifax,44.662,-63.6017,POI4,68.9494886990306
4765611,2017-06-21 11:16:23.910,CA,BC,Sparwood,49.72628,-114.89198,POI1 or POI2,3834.639602058717
4765804,2017-06-21 03:16:22.883,CA,AB,Vauxhall,50.1781,-112.418,POI1 or POI2,3651.235220872713
4766042,2017-06-21 04:16:23.950,CA,QC,Montréal,45.4784,-73.6249,POI3,811.485166504694
4766456,2017-06-21 08:16:27.300,CA,AB,Stony Plain,53.55132,-114.14011,POI1 or POI2,3711.250278872104
4766643,2017-06-21 13:16:27.850,CA,ON,Toronto,43.66203,-79.42285,POI1 or POI2,1293.9238701135064
4766785,2017-06-21 21:16:29.940,CA,AB,Edmonton,53.48329,-113.68082,POI1 or POI2,3681.9773198115163
4766831,2017-06-21 09:16:27.460,CA,AB,Calgary,51.04766,-114.07187,POI1 or POI2,3748.1578795769046
4766964,2017-06-21 06:16:29.833,CA,SK,Lloydminster,53.2717,-110.0853,POI1 or POI2,3446.914101409068
4767041,2017-06-21 01:16:29.800,CA,SK,North Battleford,52.781,-108.312,POI1 or POI2,3332.540847492404
4767115,2017-06-21 09:16:30.553,CA,AB,Edmonton,53.47674,-113.41941,POI1 or POI2,3664.8799738309335
4767262,2017-06-21 01:16:34.383,CA,AB,Edmonton,53.4159,-113.445,POI1 or POI2,3667.3157257704756
4767368,2017-06-21 21:16:34.697,CA,AB,Edmonton,53.42116,-113.45654,POI1 or POI2,3668.0095144982974
4767434,2017-06-21 16:16:34.060,CA,QC,Montréal-Nord,45.59189,-73.64357,POI3,812.656009933967
4767513,2017-06-21 01:16:37.097,CA,AB,Edmonton,53.47193,-113.45626,POI1 or POI2,3667.361401180125
4768019,2017-06-21 17:16:39.163,CA,NS,Maitland,45.3204,-63.5019,POI4,23.577214759812932
4768192,2017-06-21 03:16:39.020,CA,AB,Calgary,51.12407,-113.93816,POI1 or POI2,3737.454419588561
4768359,2017-06-21 16:16:38.260,CA,MB,Winnipeg,49.8735,-97.15035,POI1 or POI2,2572.668064031935
4768640,2017-06-21 20:16:39.483,CA,NS,Upper Sackville,44.87206,-63.77934,POI4,58.124211384792794
4768686,2017-06-21 10:16:39.640,CA,AB,Calgary,51.07565,-114.0922,POI1 or POI2,3748.992843241945
4768880,2017-06-21 06:16:41.700,CA,AB,Edmonton,53.54259,-113.49031,POI1 or POI2,3668.732648603023
4768896,2017-06-21 18:16:38.120,CA,ON,Burlington,43.3666,-79.7827,POI1 or POI2,1330.0040407943677
4768963,2017-06-21 13:16:38.927,CA,AB,Calgary,51.13293,-114.21415,POI1 or POI2,3756.2156447314874
4769024,2017-06-21 04:16:38.973,CA,AB,Calgary,50.9685,-114.1183,POI1 or POI2,3752.951350195674
4769234,2017-06-21 17:16:39.743,CA,AB,Calgary,51.01701,-114.13924,POI1 or POI2,3753.4060621930885
4769776,2017-06-21 18:16:39.453,CA,ON,Scarborough,43.69238,-79.27702,POI1 or POI2,1281.7422128234025
4770541,2017-06-21 03:16:40.990,CA,AB,Edmonton,53.51867,-113.63905,POI1 or POI2,3678.7910905350504
4770654,2017-06-21 07:16:45.077,CA,AB,Calgary,51.04318,-114.00109,POI1 or POI2,3743.3838993153972
4770691,2017-06-21 01:16:45.170,CA,MB,Brandon,49.8401,-99.96129,POI1 or POI2,2774.0031124847924
4770954,2017-06-21 21:16:42.683,CA,AB,Edmonton,53.60754,-113.4872,POI1 or POI2,3667.7448568418813
4771232,2017-06-21 00:16:47.017,CA,SK,Saskatoon,52.1327,-106.657,POI1 or POI2,3225.4834648932097
4771328,2017-06-21 20:16:43.973,CA,AB,Edmonton,53.43164,-113.46515,POI1 or POI2,3668.445352615157
4771458,2017-06-21 11:16:47.073,CA,ON,Niagara Falls,43.0823,-79.083,POI1 or POI2,1283.7617813767797
4772000,2017-06-21 02:16:50.140,CA,ON,Toronto,43.7071,-79.3978,POI1 or POI2,1290.817893668157
